# Result of the experimentation: segment4.arg

# With args:
# --> x_size = 100
# --> y_size = 200
# --> init_time_step = 1e-08
# --> space_step = 0.001
# --> CBL_cond = 100
# --> iter_number_solver = 1003
# --> iter_number_profiler = 1
# --> nb_of_threads = 12
# --> ->nb_pts = 3
# --> ->abs = 39
# --> ->abs = 129
# --> ->abs = 199
# --> ->ord = 89
# --> ->ord = 89
# --> ->ord = 89
# --> init_cond_type = 1
# --> iter_number_evol_chamber = 1000
# --> differential_equation_solver_algo = 4
# --> VDW_a_coef = 0
# --> VDW_b_coef = 0
# --> thermal_conduction = 1
# --> lambda = 0.6
# --> mol_mass = 0.018
# --> dyn_visc = 1e-06
# --> init_chamber_pressure = 200000
# --> init_chamber_temperature = 2000
# --> init_chamber_speed = 0
# --> init_chamber_turb_en = 1e-05
# --> init_chamber_turb_dis = 1e-05
# --> init_atmosphere_pressure = 124000
# --> init_atmosphere_temperature = 300
# --> init_atmosphere_speed = 0
# --> init_atmosphere_turb_en = 1e-06
# --> init_atmosphere_turb_dis = 1e-06

#              time         time_step            thrust      max pressure   max temperature      max vol_mass        max speed0        max speed1       max turb_en      max turb_dis

           1.3e-06             1e-08     3.329425e-184            133804             519.3         0.8952136      7.088157e-08          1.755878         2.161e-06         2.161e-06
          1.31e-06             1e-08     6.294577e-184          124062.6          300.0357         0.8952214      7.251445e-08          1.810739      1.001184e-06      1.001716e-06
          1.32e-06             1e-08     5.977678e-184            133956             522.7         0.8952295      7.419821e-08          1.810389         2.179e-06         2.179e-06
          1.33e-06             1e-08     -6.97597e-184          124065.6          300.0375         0.8952375      7.588131e-08          1.866083      1.001269e-06       1.00184e-06
          1.34e-06             1e-08     7.607926e-184            134108             526.1         0.8952458      7.761605e-08          1.865716         2.197e-06         2.197e-06
          1.35e-06             1e-08     1.549326e-184          124068.7          300.0394         0.8952541       7.93501e-08          1.922243      1.001359e-06       1.00197e-06
          1.36e-06             1e-08     2.225376e-184            134260             529.5         0.8952627      8.113655e-08          1.921859         2.215e-06         2.215e-06
          1.37e-06             1e-08     3.785677e-183          124071.9          300.0414         0.8952712      8.292228e-08          1.979217      1.001454e-06      1.002108e-06
          1.38e-06             1e-08     3.862938e-183            134412             532.9           0.89528      8.476117e-08          1.978815         2.233e-06         2.233e-06
          1.39e-06             1e-08     2.151463e-183          124075.1          300.0434         0.8952888      8.659929e-08          2.037004      1.001554e-06      1.002254e-06
           1.4e-06             1e-08     2.464767e-183            134564             536.3         0.8952978      8.849134e-08          2.036585         2.251e-06         2.251e-06
          1.41e-06             1e-08     6.565607e-183          124078.5          300.0455         0.8953069      9.038259e-08          2.095605       1.00166e-06      1.002407e-06
          1.42e-06             1e-08     4.667184e-183            134716             539.7         0.8953162      9.232852e-08          2.095166         2.269e-06         2.269e-06
          1.43e-06             1e-08     6.448392e-184            124082          300.0476         0.8953255      9.427361e-08          2.155016      1.001771e-06      1.002569e-06
          1.44e-06             1e-08    -4.934761e-183            134868             543.1         0.8953351      9.627414e-08          2.154558         2.287e-06         2.287e-06
