# Result of the experimentation with args: 1
#                 x                 y           is_wall          pressure            temper          vol_mass           speed_1           speed_2

                 1                58                 0          626180.9          1357.136                 1                 0        -0.2921658
                 1                59                 0          634839.2          1375.879                 1                 0        -0.2971859
                 1                60                 0          643497.5          1394.623                 1                 0         -0.302206
                 1                61                 0          652155.8          1413.367                 1                 0        -0.3072261
                 1                62                 0          660814.1          1432.111                 1                 0        -0.3122462
                 1                63                 0          669472.4          1450.854                 1                 0        -0.3172663
                 1                64                 0          678130.6          1469.598                 1                 0        -0.3222865
                 1                65                 0            686789          1488.342                 1                 0        -0.3273065
                 1                66                 0          695447.2          1507.085                 1                 0        -0.3323267
                 1                67                 0          704105.5          1525.829                 1                 0        -0.3373468
                 1                68                 0          712763.8          1544.573                 1                 0        -0.3423668
                 1                69                 0          721422.1          1563.317                 1                 0        -0.3473869
                 1                70                 0          730080.4           1582.06                 1                 0         -0.352407
                 1                71                 0          738738.6          1600.804                 1                 0        -0.3574271
                 1                72                 0            747397          1619.548                 1                 0        -0.3624472
                 1                73                 0          756055.3          1638.292                 1                 0        -0.3674673
                 1                74                 0          764713.6          1657.035                 1                 0        -0.3724874
                 1                75                 0          773371.8          1675.779                 1                 0        -0.3775075
                 1                76                 0          782030.1          1694.523                 1                 0        -0.3825276
                 1                77                 0          790688.5          1713.266                 1                 0        -0.3875478
                 1                78                 0          799346.8           1732.01                 1                 0        -0.3925678
                 1                79                 0            808005          1750.754                 1                 0         -0.397588
                 1                80                 0          816663.3          1769.497                 1                 0        -0.4026081
                 1                81                 0          825321.6          1788.241                 1                 0        -0.4076281
                 1                82                 0          833979.9          1806.985                 1                 0        -0.4126482
                 1                83                 0          842638.1          1825.729                 1                 0        -0.4176683
                 1                84                 0          851296.5          1844.472                 1                 0        -0.4226884
                 1                85                 0          859954.8          1863.216                 1                 0        -0.4277085
                 1                86                 0          868613.1           1881.96                 1                 0        -0.4327286
                 1                87                 0          877271.3          1900.703                 1                 0        -0.4377487
                 1                88                 0          885929.6          1919.447                 1                 0        -0.4427688
                 1                89                 0            894588          1938.191                 1                 0         -0.447789
                 1                90                 0          903246.2          1956.935                 1                 0        -0.4528091
                 1                91                 0          911904.5          1975.678                 1                 0        -0.4578291
                 1                92                 0          920562.8          1994.422                 1                 0        -0.4628493
                 1                93                 0          929221.1          2013.166                 1                 0        -0.4678694
                 1                94                 0          937879.4           2031.91                 1                 0        -0.4728895
                 1                95                 0          946537.6          2050.653                 1                 0        -0.4779095
                 1                96                 0            955196          2069.397                 1                 0        -0.4829296
                 1                97                 0          963854.3          2088.141                 1                 0        -0.4879497
                 1                98                 0          972512.6          2106.885                 1                 0        -0.4929698
                 1                99                 0          981170.8          2125.628                 1                 0          -0.49799
                 1               100                 0          989829.1          2144.372                 1                 0          -0.50301
                 1               101                 0          998487.5          2163.115                 1                 0        -0.5080302
                 1               102                 0           1007146          2181.859                 1                 0        -0.5130503
                 1               103                 0           1015804          2200.603                 1                 0        -0.5180703
                 1               104                 0           1024462          2219.347                 1                 0        -0.5230905
                 1               105                 0           1033121           2238.09                 1                 0        -0.5281106
                 1               106                 0           1041779          2256.834                 1                 0        -0.5331306
                 1               107                 0           1050437          2275.578                 1                 0        -0.5381508
                 1               108                 0           1059096          2294.322                 1                 0        -0.5431709
                 1               109                 0           1067754          2313.065                 1                 0         -0.548191
                 1               110                 0           1076412          2331.809                 1                 0         -0.553211
